word_us,word_gb,lexical_category,cefr,definition_url_oxford,definition_url_cambridge,ipa_us,ipa_gb,definition,example,audio_source_us,audio_source_gb
academic,academic,noun,b2,https://www.oxfordlearnersdictionaries.com/definition/english/academic_2,https://dictionary.cambridge.org/dictionary/english/academic,"[""/ˌækəˈdemɪk/""]","[""/ˌækəˈdemɪk/""]",a person who teaches and/or does research at a university or college,a leading/distinguished/prominent academic,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academic__us_2.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aca/acade/academic__gb_2.ogg""]"
academy,academy,noun,c1,https://www.oxfordlearnersdictionaries.com/definition/english/academy,https://dictionary.cambridge.org/dictionary/english/academy,"[""/əˈkædəmi/""]","[""/əˈkædəmi/""]",a school or college for special training,She trained at the Royal Academy of Music.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academy__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aca/acade/academy__gb_1.ogg""]"
accelerate,accelerate,verb,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accelerate,https://dictionary.cambridge.org/dictionary/english/accelerate,"[""/əkˈseləreɪt/""]","[""/əkˈseləreɪt/""]",to happen faster or earlier; to make something happen faster or earlier,Inflation continues to accelerate.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accel/accelerate__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accel/accelerate__gb_1.ogg""]"
accent,accent,noun,b2,https://www.oxfordlearnersdictionaries.com/definition/english/accent_1,https://dictionary.cambridge.org/dictionary/english/accent,"[""/ˈæksent/"", ""/ˈæksənt/""]","[""/ˈæksent/"", ""/ˈæksənt/""]","a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language",a northern/Dublin/Scottish accent,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accen/accent__us_1_rr.ogg"", ""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accen/accent__us_2.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accen/accent__gb_1.ogg"", ""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accen/accent__gb_2.ogg""]"
accept,accept,verb,a2,https://www.oxfordlearnersdictionaries.com/definition/english/accept,https://dictionary.cambridge.org/dictionary/english/accept,"[""/əkˈsept/""]","[""/əkˈsept/""]","to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.",He asked me to marry him and I accepted.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/accept__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accep/accept__gb_3.ogg""]"
acceptable,acceptable,adjective,b2,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable,https://dictionary.cambridge.org/dictionary/english/acceptable,"[""/əkˈseptəbl/""]","[""/əkˈseptəbl/""]",agreed or approved of by most people in a society,Children must learn socially acceptable behaviour.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/acceptable__us_3.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accep/acceptable__gb_1.ogg""]"
acceptance,acceptance,noun,c1,https://www.oxfordlearnersdictionaries.com/definition/english/acceptance,https://dictionary.cambridge.org/dictionary/english/acceptance,"[""/əkˈseptəns/""]","[""/əkˈseptəns/""]","the act of accepting a gift, an invitation, an offer, etc.",Please confirm your acceptance of this offer in writing.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/acceptance__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accep/acceptance__gb_1.ogg""]"
access,access,noun,b1,https://www.oxfordlearnersdictionaries.com/definition/english/access_1,https://dictionary.cambridge.org/dictionary/english/access,"[""/ˈækses/""]","[""/ˈækses/""]",the opportunity or right to use something or to see somebody/something,High-speed internet access has become a necessity.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/access__us_2.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/acces/access__gb_4.ogg""]"
access,access,verb,b1,https://www.oxfordlearnersdictionaries.com/definition/english/access_2,https://dictionary.cambridge.org/dictionary/english/access,"[""/ˈækses/""]","[""/ˈækses/""]",to open a computer file or use a computer system,Most people use their phones to access the internet .,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/access__us_2.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/acces/access__gb_4.ogg""]"
accessible,accessible,adjective,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accessible,https://dictionary.cambridge.org/dictionary/english/accessible,"[""/əkˈsesəbl/""]","[""/əkˈsesəbl/""]","that can be reached, entered, used, seen, etc.",The remote desert area is accessible only by helicopter.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/accessible__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/acces/accessible__gb_4.ogg""]"
