word,cefr,pos,list,definition,example,phonetic,audio_url,source,audio_source
goodbye,a1,exclamation,oxford_3000_5000,used when you are leaving somebody or when somebody else is leaving,Goodbye! It was great to meet you.,/ˌɡʊdˈbaɪ/,data/audio/oxford/goodbye__us_1_rr.ogg,oxford,oxford
goodbye,a1,noun,oxford_3000_5000,used when you are leaving somebody or when somebody else is leaving,Goodbye! It was great to meet you.,/ˌɡʊdˈbaɪ/,data/audio/oxford/goodbye__us_1_rr.ogg,oxford,oxford
goodness,b2,noun,oxford_3000_5000,the quality of being good,the essential goodness of human nature,/ˈɡʊdnəs/,data/audio/oxford/goodness__us_1.ogg,oxford,oxford
goods,b1,noun,oxford_3000_5000,things that are produced to be sold,to produce/buy/sell goods,/ɡʊdz/,data/audio/oxford/goods__us_1.ogg,oxford,oxford
gorgeous,b2,adjective,oxford_3000_5000,very beautiful and attractive; giving great pleasure,a gorgeous girl/man,/ˈɡɔːdʒəs/,data/audio/oxford/gorgeous__us_1.ogg,oxford,oxford
govern,b2,verb,oxford_3000_5000,"to legally control a country or its people and be responsible for introducing new laws, organizing public services, etc.",The country is governed by elected representatives of the people.,/ˈɡʌvn/,data/audio/oxford/govern__us_1.ogg,oxford,oxford
governance,c1,noun,oxford_3000_5000,the activity of governing a country or controlling a company or an organization; the way in which a country is governed or a company or institution is controlled,He emphasized the company's commitment to high standards of corporate governance.,/ˈɡʌvənəns/,data/audio/oxford/governance__us_1.ogg,oxford,oxford
government,a2,noun,oxford_3000_5000,the group of people who are responsible for controlling a country or a state,to lead/form a government,/ˈɡʌvənmənt/,data/audio/oxford/government__us_1_rr.ogg,oxford,oxford
governor,b2,noun,oxford_3000_5000,a person who is the official head of a country or region that is governed by another country,the former governor of the colony,/ˈɡʌvənə(r)/,data/audio/oxford/governor__us_1_rr.ogg,oxford,oxford
grab,b2,verb,oxford_3000_5000,to take or hold somebody/something with your hand suddenly or roughly,"grab somebody/something, She grabbed his arm as he got up to leave.",/ɡræb/,data/audio/oxford/grab__us_1.ogg,oxford,oxford
grace,c1,noun,oxford_3000_5000,an attractive quality of movement that is smooth and done with control; a simple and beautiful quality,She moves with the natural grace of a ballerina.,/ɡreɪs/,data/audio/oxford/grace__us_1.ogg,oxford,oxford
grade,b1,noun,oxford_3000_5000,a mark given in an exam or for a piece of school work,"(British English), She got good grades in her exams.",/ɡreɪd/,data/audio/oxford/grade__us_1.ogg,oxford,oxford
grade,b2,verb,oxford_3000_5000,to give a grade to a student or to a piece of their written work,"grade somebody/something, I spent all weekend grading papers.",/ɡreɪd/,data/audio/oxford/grade__us_1.ogg,oxford,oxford
gradually,b2,adverb,oxford_3000_5000,"slowly, over a long period of time",to gradually increase/decrease,/ˈɡrædʒuəli/,data/audio/oxford/gradually__us_1_rr.ogg,oxford,oxford
graduate,b1,noun,oxford_3000_5000,a person who has a university degree,job prospects for graduates,/ˈɡrædʒuət/,data/audio/oxford/graduate__us_1.ogg,oxford,oxford
graduate,b1,verb,oxford_3000_5000,"to get a degree, especially your first degree, from a university or college",She taught in France after she graduated.,/ˈɡrædʒueɪt/,data/audio/oxford/graduate__us_2.ogg,oxford,oxford
grain,b1,noun,oxford_3000_5000,"the small hard seeds of food plants such as wheat, rice, etc.; a single seed of such a plant",Russia sold 12 million tons of grain abroad last year.,/ɡreɪn/,data/audio/oxford/grain__us_1.ogg,oxford,oxford
grand,b2,adjective,oxford_3000_5000,impressive and large or important,It's not a very grand house.,/ɡrænd/,data/audio/oxford/grand__us_1.ogg,oxford,oxford
grandfather,a1,noun,oxford_3000_5000,the father of your father or mother,The firm had been founded by his grandfather.,/ˈɡrænfɑːðə(r)/,data/audio/oxford/grandfather__us_1.ogg,oxford,oxford
grandmother,a1,noun,oxford_3000_5000,the mother of your father or mother,I always loved going to visit my grandmother.,/ˈɡrænmʌðə(r)/,data/audio/oxford/grandmother__us_1.ogg,oxford,oxford
grandparent,a1,noun,oxford_3000_5000,the father or mother of your father or mother,The children are staying with their grandparents.,/ˈɡrænpeərənt/,data/audio/oxford/grandparent__us_1.ogg,oxford,oxford
grant,b2,noun,oxford_3000_5000,a sum of money that is given by the government or by another organization to be used for a particular purpose,government/federal grants,/ɡrɑːnt/,data/audio/oxford/grant__us_1.ogg,oxford,oxford
grant,b2,verb,oxford_3000_5000,"to agree to give somebody what they ask for, especially formal or legal permission to do something","grant something, My request was granted.",/ɡrɑːnt/,data/audio/oxford/grant__us_1.ogg,oxford,oxford
graphic,b2,adjective,oxford_3000_5000,"connected with drawings and design, especially in the production of books, magazines, websites, etc.",graphic design,/ˈɡræfɪk/,data/audio/oxford/graphic__us_1.ogg,oxford,oxford
graphics,b2,noun,oxford_3000_5000,"designs, drawings or pictures that are used especially in the production of books, magazines, websites, etc.",Text and graphics are prepared separately and then combined.,/ˈɡræfɪks/,data/audio/oxford/graphics__us_1.ogg,oxford,oxford
grasp,c1,noun,oxford_3000_5000,a strong hold of somebody/something or control over somebody/something,"I grabbed him, but he slipped from my grasp.",/ɡrɑːsp/,data/audio/oxford/grasp__us_1.ogg,oxford,oxford
grasp,c1,verb,oxford_3000_5000,to take a strong hold of somebody/something,He grasped my hand and shook it warmly.,/ɡrɑːsp/,data/audio/oxford/grasp__us_1.ogg,oxford,oxford
grass,a2,noun,oxford_3000_5000,"a common wild plant with narrow green leaves and stems that are eaten by cows, horses, sheep, etc.",a blade of grass,/ɡrɑːs/,data/audio/oxford/grass__us_1.ogg,oxford,oxford
grateful,b1,adjective,oxford_3000_5000,feeling or showing thanks because somebody has done something kind for you or has done as you asked,Thank you for doing this. I really am so grateful.,/ˈɡreɪtfl/,data/audio/oxford/grateful__us_1.ogg,oxford,oxford
grave,c1,adjective,oxford_3000_5000,very serious and important; giving you a reason to feel worried,The police have expressed grave concern about the missing child's safety.,/ɡreɪv/,data/audio/oxford/grave__us_1.ogg,oxford,oxford
grave,c1,noun,oxford_3000_5000,a place in the ground where a dead person is buried,We visited Grandma's grave.,/ɡreɪv/,data/audio/oxford/grave__us_1.ogg,oxford,oxford
gravity,c1,noun,oxford_3000_5000,"the force that attracts objects in space towards each other, and that on the earth pulls them towards the centre of the planet, so that things fall to the ground when they are dropped",Newton’s law of gravity,/ˈɡrævəti/,data/audio/oxford/gravity__us_1.ogg,oxford,oxford
great,a1,adjective,oxford_3000_5000,very good or pleasant,He's a great bloke.,/ɡreɪt/,data/audio/oxford/great__us_1.ogg,oxford,oxford
greatly,b2,adverb,oxford_3000_5000,very much,People's reaction to the film has varied greatly.,/ˈɡreɪtli/,data/audio/oxford/greatly__us_1.ogg,oxford,oxford
green,a1,adjective,oxford_3000_5000,having the colour of grass or the leaves of most plants and trees,green grass/leaves/vegetables,/ɡriːn/,data/audio/oxford/green__us_1.ogg,oxford,oxford
green,a1,noun,oxford_3000_5000,the colour of grass and the leaves of most plants and trees,light/pale green,/ɡriːn/,data/audio/oxford/green__us_1.ogg,oxford,oxford
greenhouse,b2,noun,oxford_3000_5000,"A building used to grow plants, particularly one with large glass windows or plastic sheeting to trap heat from sunlight even in intemperate seasons or climates.",Gladys grows a lot of tomatoes in her greenhouse.,/ˈɡɹiːnˌhaʊs/,data/audio/oxford/greenhouse__us_1.ogg,fallback:cambridge,oxford
greet,a2,verb,oxford_3000_5000,to say hello to somebody or to welcome them,"greet somebody, He greeted all the guests warmly as they arrived.",/ɡriːt/,data/audio/oxford/greet__us_1.ogg,oxford,oxford
grey,a1,adjective,oxford_3000_5000,having the colour of smoke or ashes,grey eyes/hair,/ɡreɪ/,data/audio/oxford/grey__us_1.ogg,oxford,oxford
grey,a1,noun,oxford_3000_5000,the colour of smoke or ashes,the dull grey of the sky,/ɡreɪ/,data/audio/oxford/grey__us_1.ogg,oxford,oxford
grid,c1,noun,oxford_3000_5000,"a pattern of straight lines, usually crossing each other to form squares",New York’s grid of streets,/ɡrɪd/,data/audio/oxford/grid__us_1.ogg,oxford,oxford
grief,c1,noun,oxford_3000_5000,"a very sad feeling, especially when somebody dies",She was overcome with grief when her husband died.,/ɡriːf/,data/audio/oxford/grief__us_1.ogg,oxford,oxford
grin,c1,noun,oxford_3000_5000,a wide smile,She gave a broad grin.,/ɡrɪn/,data/audio/oxford/grin__us_1.ogg,oxford,oxford
grin,c1,verb,oxford_3000_5000,to smile widely,They grinned with delight when they heard our news.,/ɡrɪn/,data/audio/oxford/grin__us_1.ogg,oxford,oxford
grind,c1,verb,oxford_3000_5000,to break or press something into very small pieces between two hard surfaces or using a special machine,to grind coffee/corn,/ɡraɪnd/,data/audio/oxford/grind__us_1.ogg,oxford,oxford
grip,c1,noun,oxford_3000_5000,an act of holding somebody/something tightly; a particular way of doing this,Keep a tight grip on the rope.,/ɡrɪp/,data/audio/oxford/grip__us_1.ogg,oxford,oxford
grip,c1,verb,oxford_3000_5000,to hold something tightly,"grip something, ‘Please don't go,’ he said, gripping her arm.",/ɡrɪp/,data/audio/oxford/grip__us_1.ogg,oxford,oxford
grocery,b2,noun,oxford_3000_5000,a shop that sells food and other things used in the home. In American English ‘grocery store’ is often used to mean ‘supermarket’.,the corner grocery store,/ˈɡrəʊsəri/,data/audio/oxford/grocery__us_1_rr.ogg,oxford,oxford
gross,c1,adjective,oxford_3000_5000,being the total amount of something before anything is taken away,gross weight (= including the container or wrapping),/ɡrəʊs/,data/audio/oxford/gross__us_1.ogg,oxford,oxford
ground,a2,noun,oxford_3000_5000,the solid surface of the earth,"on the ground, I found her lying on the ground.",/ɡraʊnd/,data/audio/oxford/ground__us_2.ogg,oxford,oxford
group,a1,noun,oxford_3000_5000,a number of people or things that are together in the same place or that are connected in some way,"group of somebody/something, a group of people/students/friends",/ɡruːp/,data/audio/oxford/group__us_1.ogg,oxford,oxford
grow,a1,verb,oxford_3000_5000,"to increase in size, number, strength or quality",The sector is growing at a phenomenal rate.,/ɡrəʊ/,data/audio/oxford/grow__us_1.ogg,oxford,oxford
growth,b1,noun,oxford_3000_5000,"the process in people, animals or plants of growing physically, mentally or emotionally",Lack of water will stunt the plant's growth.,/ɡrəʊθ/,data/audio/oxford/growth__us_1.ogg,oxford,oxford
guarantee,b2,noun,oxford_3000_5000,a formal promise that you will do something or that something will happen,They are demanding certain guarantees before they sign the treaty.,/ˌɡærənˈtiː/,data/audio/oxford/guarantee__us_1.ogg,oxford,oxford
guarantee,b2,verb,oxford_3000_5000,to promise to do something; to promise something will happen,"guarantee something, Basic human rights, including freedom of speech, are now guaranteed.",/ˌɡærənˈtiː/,data/audio/oxford/guarantee__us_1.ogg,oxford,oxford
guard,b1,noun,oxford_3000_5000,"a person, such as a soldier, a police officer or a prison officer, who protects a place or people, or prevents prisoners from escaping",prison/border guards,/ɡɑːd/,data/audio/oxford/guard__us_1.ogg,oxford,oxford
guard,b1,verb,oxford_3000_5000,"to protect property, places or people from attack or danger",Armed officers guarded the entrance.,/ɡɑːd/,data/audio/oxford/guard__us_1.ogg,oxford,oxford
guerrilla,c1,noun,oxford_3000_5000,"a member of a small group of soldiers who are not part of an official army and who fight against official soldiers, usually to try to change the government",urban guerrillas (= those who fight in towns),/ɡəˈrɪlə/,data/audio/oxford/guerrilla__us_1.ogg,oxford,oxford
guess,a1,noun,oxford_3000_5000,an attempt to give an answer or an opinion when you cannot be certain if you are right,"(British English), to have/make a guess",/ɡes/,data/audio/oxford/guess__us_1.ogg,oxford,oxford
guess,a1,verb,oxford_3000_5000,to try and give an answer or make a judgement about something without being sure of all the facts,I don't really know. I'm just guessing.,/ɡes/,data/audio/oxford/guess__us_1.ogg,oxford,oxford
